EC-Lab ASCII FILE
Nb header lines : 3                           
Ewe/V	I/mA	time/s	
6,0008699E-001	8,2363375E-003	0,000000000000000E+000
6,0258156E-001	2,0789081E-002	5,999999848427251E-004
6,0601592E-001	2,2818657E-002	1,199999969685450E-003
6,0951144E-001	2,3657823E-002	1,799999954528175E-003
6,1292285E-001	2,4234321E-002	2,399999939370900E-003
6,1633044E-001	2,4867704E-002	2,999999924213625E-003
6,1960053E-001	2,5398005E-002	3,599999909056351E-003
6,2291652E-001	2,5263997E-002	4,199999893899076E-003
6,2614077E-001	2,6431115E-002	4,799999878741801E-003
6,2934971E-001	2,6811760E-002	5,399999863584526E-003
6,3254726E-001	2,6825503E-002	5,999999848427251E-003
6,3563019E-001	2,7009524E-002	6,599999833269976E-003
6,3875508E-001	2,7553568E-002	7,199999818112701E-003
6,4184558E-001	2,7995296E-002	7,799999802955426E-003
6,4482158E-001	2,7585257E-002	8,399999787798151E-003
6,4777845E-001	2,8550031E-002	8,999999772640876E-003
6,5062064E-001	2,8312940E-002	9,599999757483602E-003
6,5344375E-001	2,8941361E-002	1,019999974232633E-002
6,5618289E-001	2,8490473E-002	1,079999972716905E-002
6,5887231E-001	2,8770322E-002	1,139999971201178E-002
6,6152352E-001	2,8502690E-002	1,199999969685450E-002
6,6410983E-001	2,8874166E-002	1,259999968169723E-002
6,6650891E-001	2,8324779E-002	1,319999966653995E-002
6,6891938E-001	2,8592410E-002	1,379999965138268E-002
6,7124975E-001	2,7950628E-002	1,439999963622540E-002
6,7348838E-001	2,8259493E-002	1,499999962106813E-002
6,7560863E-001	2,7631454E-002	1,559999960591085E-002
6,7776322E-001	2,7729193E-002	1,619999959075358E-002
6,7966950E-001	2,6902243E-002	1,679999957559630E-002
6,8156433E-001	2,6521603E-002	1,739999956043903E-002
6,8339801E-001	2,6358580E-002	1,799999954528175E-002
6,8503690E-001	2,5406785E-002	1,859999953012448E-002
6,8660694E-001	2,5065470E-002	1,919999951496720E-002
6,8806630E-001	2,4564184E-002	1,979999949980993E-002
6,8945682E-001	2,3605518E-002	2,039999948465265E-002
6,9070226E-001	2,3303526E-002	2,099999946949538E-002
6,9192088E-001	2,2993516E-002	2,159999945433810E-002
6,9300580E-001	2,1821050E-002	2,219999943918083E-002
6,9388449E-001	2,1020062E-002	2,279999942402355E-002
6,9478220E-001	2,0679129E-002	2,339999940886628E-002
6,9548130E-001	1,9451305E-002	2,399999939370900E-002
6,9612306E-001	1,8567469E-002	2,459999937855173E-002
6,9653183E-001	1,7745484E-002	2,519999936339445E-002
6,9691008E-001	1,6493991E-002	2,579999934823718E-002
6,9721186E-001	1,5958725E-002	2,639999933307990E-002
6,9736081E-001	1,5115741E-002	2,699999931792263E-002
6,9741815E-001	1,3783309E-002	2,759999930276535E-002
6,9728065E-001	1,2648639E-002	2,819999928760808E-002
6,9713163E-001	1,1697993E-002	2,879999927245080E-002
6,9680691E-001	1,0999324E-002	2,939999925729353E-002
6,9638669E-001	1,0204826E-002	2,999999924213625E-002
6,9582891E-001	8,8078715E-003	3,059999922697898E-002
6,9518334E-001	8,1828879E-003	3,119999921182171E-002
6,9449574E-001	6,7164474E-003	3,179999919666443E-002
6,9354451E-001	5,8417753E-003	3,239999918150716E-002
6,9258565E-001	4,9308338E-003	3,299999916634988E-002
6,9145095E-001	3,9404803E-003	3,359999915119261E-002
6,9024384E-001	3,2063059E-003	3,419999913603533E-002
6,8896407E-001	2,4610595E-003	3,479999912087806E-002
6,8747032E-001	1,2649236E-003	3,539999910572078E-002
6,8594223E-001	5,7350897E-004	3,599999909056351E-002
6,8429959E-001	-1,7364637E-004	3,659999907540623E-002
6,8259579E-001	-1,4491937E-003	3,719999906024896E-002
6,8077350E-001	-1,9508605E-003	3,779999904509168E-002
6,7886728E-001	-2,7182505E-003	3,839999902993441E-002
6,7677379E-001	-4,1087153E-003	3,899999901477713E-002
6,7469561E-001	-4,6745227E-003	3,959999899961986E-002
6,7249131E-001	-5,4758913E-003	4,019999898446258E-002
6,7016864E-001	-6,0798773E-003	4,079999896930531E-002
6,6779631E-001	-6,6388119E-003	4,139999895414803E-002
6,6540104E-001	-6,8720831E-003	4,199999893899076E-002
6,6276509E-001	-7,9968246E-003	4,259999892383348E-002
6,6020173E-001	-8,7008392E-003	4,319999890867621E-002
6,5750849E-001	-9,0623898E-003	4,379999889351893E-002
6,5474266E-001	-1,0161170E-002	4,439999887836166E-002
6,5194243E-001	-1,0520813E-002	4,499999886320438E-002
6,4901614E-001	-1,0939251E-002	4,559999884804711E-002
6,4599437E-001	-1,1610049E-002	4,619999883288983E-002
6,4297259E-001	-1,1879589E-002	4,679999881773256E-002
6,3988584E-001	-1,2732500E-002	4,739999880257528E-002
6,3682592E-001	-1,3105505E-002	4,799999878741801E-002
6,3362837E-001	-1,3806464E-002	4,859999877226073E-002
6,3039649E-001	-1,4064169E-002	4,919999875710346E-002
6,2713403E-001	-1,3945816E-002	4,979999874194618E-002
6,2387544E-001	-1,4234064E-002	5,039999872678891E-002
6,2048304E-001	-1,4845686E-002	5,099999871163163E-002
6,1714417E-001	-1,4819724E-002	5,159999869647436E-002
6,1374038E-001	-1,5228617E-002	5,219999868131708E-002
6,1029458E-001	-1,5181658E-002	5,279999866615981E-002
6,0691369E-001	-1,5220982E-002	5,339999865100253E-002
6,0355192E-001	-1,5932631E-002	5,399999863584526E-002
6,0003728E-001	-1,5857419E-002	5,459999862068798E-002
5,9661055E-001	-1,6215917E-002	5,519999860553071E-002
5,9313416E-001	-1,5821150E-002	5,579999859037343E-002
5,8968836E-001	-1,6409099E-002	5,639999857521616E-002
5,8622724E-001	-1,6081145E-002	5,699999856005888E-002
5,8276999E-001	-1,6554179E-002	5,759999854490161E-002
5,7931268E-001	-1,6239969E-002	5,819999852974433E-002
5,7594711E-001	-1,6246459E-002	5,879999851458706E-002
5,7251269E-001	-1,6238440E-002	5,939999849942978E-002
5,6921589E-001	-1,6646570E-002	5,999999848427251E-002
5,6588084E-001	-1,6100233E-002	6,059999846911523E-002
5,6254578E-001	-1,5903233E-002	6,119999845395796E-002
5,5923367E-001	-1,5955156E-002	6,179999843880069E-002
5,5608201E-001	-1,5849018E-002	6,239999842364341E-002
5,5286539E-001	-1,5706996E-002	6,299999840848614E-002
5,4973662E-001	-1,5332462E-002	6,359999839332886E-002
5,4665375E-001	-1,5218690E-002	6,419999837817159E-002
5,4364723E-001	-1,4975111E-002	6,479999836301431E-002
5,4069805E-001	-1,5050705E-002	6,539999834785704E-002
5,3775650E-001	-1,4892646E-002	6,599999833269976E-002
5,3488368E-001	-1,4792236E-002	6,659999831754249E-002
5,3208345E-001	-1,4182523E-002	6,719999830238521E-002
5,2936351E-001	-1,4098530E-002	6,779999828722794E-002
5,2675050E-001	-1,4066079E-002	6,839999827207066E-002
5,2416420E-001	-1,3825172E-002	6,899999825691339E-002
5,2170783E-001	-1,3249438E-002	6,959999824175611E-002
5,1933545E-001	-1,3109704E-002	7,019999822659884E-002
5,1701665E-001	-1,2320170E-002	7,079999821144156E-002
5,1472068E-001	-1,2423635E-002	7,139999819628429E-002
5,1255840E-001	-1,1770398E-002	7,199999818112701E-002
5,1046878E-001	-1,1629901E-002	7,259999816596974E-002
5,0854343E-001	-1,0871674E-002	7,319999815081246E-002
5,0665998E-001	-1,0672382E-002	7,379999813565519E-002
5,0494474E-001	-1,0080613E-002	7,439999812049791E-002
5,0336319E-001	-9,9103367E-003	7,499999810534064E-002
5,0173193E-001	-9,2838258E-003	7,559999809018336E-002
5,0026119E-001	-9,1433283E-003	7,619999807502609E-002
4,9899286E-001	-8,4011368E-003	7,679999805986881E-002
4,9779332E-001	-8,0140047E-003	7,739999804471154E-002
4,9659377E-001	-7,7837878E-003	7,799999802955426E-002
4,9559289E-001	-7,5402088E-003	7,859999801439699E-002
4,9466458E-001	-6,7495294E-003	7,919999799923971E-002
4,9385467E-001	-6,2894779E-003	7,979999798408244E-002
4,9318615E-001	-5,5205603E-003	8,039999796892516E-002
4,9259019E-001	-5,2174223E-003	8,099999795376789E-002
4,9215850E-001	-4,6554334E-003	8,159999793861061E-002
4,9180323E-001	-3,9861621E-003	8,219999792345334E-002
4,9156255E-001	-3,3466704E-003	8,279999790829606E-002
4,9149001E-001	-2,9305238E-003	8,339999789313879E-002
4,9152434E-001	-2,7083240E-003	8,399999787798151E-002
4,9160460E-001	-2,2562894E-003	8,459999786282424E-002
4,9185288E-001	-2,2192560E-003	8,519999784766696E-002
4,9222347E-001	-1,3449660E-003	8,579999783250969E-002
4,9268189E-001	-4,8785630E-004	8,639999781735241E-002
4,9315941E-001	-2,9467256E-004	8,699999780219514E-002
4,9391961E-001	-1,2974099E-004	8,759999778703786E-002
4,9471804E-001	4,9027964E-004	8,819999777188059E-002
4,9561578E-001	1,6547273E-003	8,879999775672331E-002
4,9668926E-001	1,8020967E-003	8,939999774156604E-002
4,9780098E-001	2,2002996E-003	8,999999772640876E-002
4,9906161E-001	3,1662183E-003	9,059999771125149E-002
5,0037962E-001	2,7485443E-003	9,119999769609421E-002
5,0183892E-001	3,7457698E-003	9,179999768093694E-002
5,0335938E-001	4,0462352E-003	9,239999766577967E-002
5,0506318E-001	4,9495413E-003	9,299999765062239E-002
5,0676697E-001	5,0896569E-003	9,359999763546512E-002
5,0865418E-001	5,8055054E-003	9,419999762030784E-002
5,1059484E-001	6,0945177E-003	9,479999760515057E-002
5,1258135E-001	6,8477821E-003	9,539999758999329E-002
5,1478177E-001	7,1604643E-003	9,599999757483602E-002
5,1687527E-001	7,9141101E-003	9,659999755967874E-002
5,1917499E-001	8,4593007E-003	9,719999754452147E-002
5,2160466E-001	8,6631738E-003	9,779999752936419E-002
5,2404577E-001	8,9182071E-003	9,839999751420692E-002
5,2658617E-001	9,6684173E-003	9,899999749904964E-002
5,2921832E-001	1,0160158E-002	9,959999748389237E-002
5,3182757E-001	1,0400683E-002	1,001999974687351E-001
5,3462011E-001	1,1000087E-002	1,007999974535778E-001
5,3743941E-001	1,1562076E-002	1,013999974384205E-001
5,4023582E-001	1,1493736E-002	1,019999974232633E-001
5,4320788E-001	1,2386735E-002	1,025999974081060E-001
5,4610366E-001	1,2435602E-002	1,031999973929487E-001
5,4914451E-001	1,3548128E-002	1,037999973777914E-001
5,5220068E-001	1,2989575E-002	1,043999973626342E-001
5,5534852E-001	1,3205665E-002	1,049999973474769E-001
5,5849636E-001	1,4165094E-002	1,055999973323196E-001
5,6166714E-001	1,4387294E-002	1,061999973171623E-001
5,6489903E-001	1,4639271E-002	1,067999973020051E-001
5,6811947E-001	1,5016096E-002	1,073999972868478E-001
5,7142013E-001	1,4995862E-002	1,079999972716905E-001
5,7472080E-001	1,5397117E-002	1,085999972565332E-001
5,7798326E-001	1,5792266E-002	1,091999972413760E-001
5,8131832E-001	1,6054936E-002	1,097999972262187E-001
