EC-Lab ASCII FILE
Nb header lines : 3                           
Ewe/V	I/mA	time/s	
6,0009533E-001	7,1906256E-003	0,000000000000000E+000
6,0250586E-001	1,9182909E-002	5,999999848427251E-004
6,0607779E-001	2,0888345E-002	1,199999969685450E-003
6,0957325E-001	2,1497296E-002	1,799999954528175E-003
6,1301529E-001	2,2201309E-002	2,399999939370900E-003
6,1636174E-001	2,2667469E-002	2,999999924213625E-003
6,1965477E-001	2,3092017E-002	3,599999909056351E-003
6,2287146E-001	2,3503201E-002	4,199999893899076E-003
6,2619120E-001	2,3799466E-002	4,799999878741801E-003
6,2937343E-001	2,4022810E-002	5,399999863584526E-003
6,3250595E-001	2,5126554E-002	5,999999848427251E-003
6,3564616E-001	2,5342265E-002	6,599999833269976E-003
6,3878638E-001	2,5781319E-002	7,199999818112701E-003
6,4175469E-001	2,5883637E-002	7,799999802955426E-003
6,4475358E-001	2,6333380E-002	8,399999787798151E-003
6,4770657E-001	2,6126834E-002	8,999999772640876E-003
6,5059471E-001	2,6349800E-002	9,599999757483602E-003
6,5345979E-001	2,6504422E-002	1,019999974232633E-002
6,5621799E-001	2,6823977E-002	1,079999972716905E-002
6,5894181E-001	2,6941948E-002	1,139999971201178E-002
6,6147077E-001	2,6931640E-002	1,199999969685450E-002
6,6402268E-001	2,6492205E-002	1,259999968169723E-002
6,6652489E-001	2,6600629E-002	1,319999966653995E-002
6,6890109E-001	2,6697988E-002	1,379999965138268E-002
6,7123526E-001	2,6306275E-002	1,439999963622540E-002
6,7345858E-001	2,6085600E-002	1,499999962106813E-002
6,7570102E-001	2,6121872E-002	1,559999960591085E-002
6,7771429E-001	2,5312483E-002	1,619999959075358E-002
6,7967784E-001	2,5182677E-002	1,679999957559630E-002
6,8152684E-001	2,5240708E-002	1,739999956043903E-002
6,8333000E-001	2,3901785E-002	1,799999954528175E-002
6,8501854E-001	2,3532597E-002	1,859999953012448E-002
6,8663061E-001	2,3546724E-002	1,919999951496720E-002
6,8804407E-001	2,2237578E-002	1,979999949980993E-002
6,8943846E-001	2,1909624E-002	2,039999948465265E-002
6,9071823E-001	2,1595415E-002	2,099999946949538E-002
6,9191015E-001	1,9941136E-002	2,159999945433810E-002
6,9296074E-001	1,9992677E-002	2,219999943918083E-002
6,9384700E-001	1,9118387E-002	2,279999942402355E-002
6,9468743E-001	1,8150941E-002	2,339999940886628E-002
6,9544768E-001	1,8013116E-002	2,399999939370900E-002
6,9614679E-001	1,6931135E-002	2,459999937855173E-002
6,9656318E-001	1,5670095E-002	2,519999936339445E-002
6,9689173E-001	1,5139030E-002	2,579999934823718E-002
6,9715148E-001	1,4505267E-002	2,639999933307990E-002
6,9732726E-001	1,3338527E-002	2,699999931792263E-002
6,9742274E-001	1,2691400E-002	2,759999930276535E-002
6,9731581E-001	1,1996930E-002	2,819999928760808E-002
6,9717062E-001	1,0846610E-002	2,879999927245080E-002
6,9681150E-001	9,9203959E-003	2,939999925729353E-002
6,9636071E-001	8,7284595E-003	2,999999924213625E-002
6,9584495E-001	8,0931680E-003	3,059999922697898E-002
6,9520700E-001	6,5950393E-003	3,119999921182171E-002
6,9444680E-001	6,4228540E-003	3,179999919666443E-002
6,9352996E-001	5,1866304E-003	3,239999918150716E-002
6,9255960E-001	4,4119866E-003	3,299999916634988E-002
6,9141352E-001	3,4789012E-003	3,359999915119261E-002
6,9025600E-001	2,8264287E-003	3,419999913603533E-002
6,8888837E-001	1,5905873E-003	3,479999912087806E-002
6,8747872E-001	9,7629335E-004	3,539999910572078E-002
6,8596214E-001	2,6388047E-004	3,599999909056351E-002
6,8433857E-001	-4,1035374E-004	3,659999907540623E-002
