EC-Lab ASCII FILE
Nb header lines : 3                           
Ewe/V	I/mA	time/s	
6,0019553E-001	6,6973576E-003	0,000000000000000E+000
6,0285056E-001	1,7339647E-002	5,999999848427251E-004
6,0633838E-001	1,8600304E-002	1,199999969685450E-003
6,0971546E-001	1,9227577E-002	1,799999954528175E-003
6,1310017E-001	1,9800257E-002	2,399999939370900E-003
6,1646581E-001	2,0338574E-002	2,999999924213625E-003
6,1979699E-001	2,0597046E-002	3,599999909056351E-003
6,2308621E-001	2,1283494E-002	4,199999893899076E-003
6,2630284E-001	2,1705750E-002	4,799999878741801E-003
6,2951940E-001	2,2163130E-002	5,399999863584526E-003
6,3265580E-001	2,1871828E-002	5,999999848427251E-003
6,3582659E-001	2,2812549E-002	6,599999833269976E-003
6,3884836E-001	2,2927849E-002	7,199999818112701E-003
6,4200008E-001	2,3390191E-002	7,799999802955426E-003
6,4496452E-001	2,3398973E-002	8,399999787798151E-003
6,4778769E-001	2,3656296E-002	8,999999772640876E-003
6,5073305E-001	2,3972033E-002	9,599999757483602E-003
6,5354854E-001	2,4070915E-002	1,019999974232633E-002
6,5636015E-001	2,3633771E-002	1,079999972716905E-002
6,5894264E-001	2,3945309E-002	1,139999971201178E-002
6,6169322E-001	2,3458149E-002	1,199999969685450E-002
6,6416484E-001	2,3808630E-002	1,259999968169723E-002
6,6661745E-001	2,3338649E-002	1,319999966653995E-002
6,6909295E-001	2,2952283E-002	1,379999965138268E-002
6,7138886E-001	2,3142794E-002	1,439999963622540E-002
6,7366195E-001	2,2938538E-002	1,499999962106813E-002
6,7569804E-001	2,2459397E-002	1,559999960591085E-002
6,7784119E-001	2,2610584E-002	1,619999959075358E-002
6,7978573E-001	2,1850066E-002	1,679999957559630E-002
6,8168050E-001	2,1562964E-002	1,739999956043903E-002
6,8348366E-001	2,1259824E-002	1,799999954528175E-002
6,8509197E-001	2,0631786E-002	1,859999953012448E-002
6,8666965E-001	2,0355374E-002	1,919999951496720E-002
6,8822068E-001	2,0069798E-002	1,979999949980993E-002
6,8955016E-001	1,9587601E-002	2,039999948465265E-002
6,9082224E-001	1,8741563E-002	2,099999946949538E-002
6,9200265E-001	1,8536163E-002	2,159999945433810E-002
6,9303799E-001	1,7503431E-002	2,219999943918083E-002
6,9401598E-001	1,7226636E-002	2,279999942402355E-002
6,9485259E-001	1,6569965E-002	2,339999940886628E-002
6,9551730E-001	1,5608627E-002	2,399999939370900E-002
6,9622785E-001	1,5069928E-002	2,459999937855173E-002
6,9666719E-001	1,4472813E-002	2,519999936339445E-002
6,9701099E-001	1,3879899E-002	2,579999934823718E-002
6,9731659E-001	1,2776539E-002	2,639999933307990E-002
6,9742739E-001	1,2534868E-002	2,699999931792263E-002
6,9746941E-001	1,1531152E-002	2,759999930276535E-002
6,9741976E-001	1,0512928E-002	2,819999928760808E-002
6,9723254E-001	9,6626906E-003	2,879999927245080E-002
6,9687730E-001	9,1594970E-003	2,939999925729353E-002
6,9649523E-001	8,4234132E-003	2,999999924213625E-002
6,9591457E-001	7,2967624E-003	3,059999922697898E-002
6,9532245E-001	6,7611164E-003	3,119999921182171E-002
6,9455457E-001	5,6898245E-003	3,179999919666443E-002
6,9359571E-001	4,9392330E-003	3,239999918150716E-002
6,9270182E-001	3,8206000E-003	3,299999916634988E-002
6,9160545E-001	3,1242219E-003	3,359999915119261E-002
6,9037145E-001	2,5381802E-003	3,419999913603533E-002
6,8904585E-001	1,7364294E-003	3,479999912087806E-002
6,8758273E-001	1,2813405E-003	3,539999910572078E-002
6,8605083E-001	-3,7515629E-006	3,599999909056351E-002
6,8444252E-001	-2,8321898E-004	3,659999907540623E-002
6,8266994E-001	-7,0585619E-004	3,719999906024896E-002
6,8086296E-001	-1,9294803E-003	3,779999904509168E-002
6,7891848E-001	-2,1310635E-003	3,839999902993441E-002
6,7691672E-001	-2,7717005E-003	3,899999901477713E-002
6,7483091E-001	-4,1728551E-003	3,959999899961986E-002
6,7256546E-001	-4,5420425E-003	4,019999898446258E-002
6,7028862E-001	-5,0303475E-003	4,079999896930531E-002
6,6789335E-001	-5,7832291E-003	4,139999895414803E-002
6,6540265E-001	-5,8202627E-003	4,199999893899076E-002
6,6284305E-001	-6,8125250E-003	4,259999892383348E-002
6,6027206E-001	-7,0942822E-003	4,319999890867621E-002
6,5749860E-001	-7,4462895E-003	4,379999889351893E-002
6,5480155E-001	-8,1976447E-003	4,439999887836166E-002
6,5205103E-001	-8,5572870E-003	4,499999886320438E-002
6,4912093E-001	-8,7913210E-003	4,559999884804711E-002
6,4603037E-001	-9,3346033E-003	4,619999883288983E-002
6,4303535E-001	-9,3956888E-003	4,679999881773256E-002
6,3995624E-001	-9,9779135E-003	4,739999880257528E-002
6,3686186E-001	-1,0242109E-002	4,799999878741801E-002
6,3367581E-001	-1,0778518E-002	4,859999877226073E-002
6,3053560E-001	-1,0852585E-002	4,919999875710346E-002
6,2726933E-001	-1,0948413E-002	4,979999874194618E-002
6,2394196E-001	-1,1265677E-002	5,039999872678891E-002
6,2061071E-001	-1,2065519E-002	5,099999871163163E-002
6,1726803E-001	-1,1655100E-002	5,159999869647436E-002
6,1381072E-001	-1,2054829E-002	5,219999868131708E-002
6,1039549E-001	-1,2067046E-002	5,279999866615981E-002
6,0706806E-001	-1,2272066E-002	5,339999865100253E-002
6,0358024E-001	-1,2885595E-002	5,399999863584526E-002
6,0011148E-001	-1,2587802E-002	5,459999862068798E-002
5,9667712E-001	-1,3017694E-002	5,519999860553071E-002
5,9323514E-001	-1,2789384E-002	5,579999859037343E-002
5,8976638E-001	-1,3326940E-002	5,639999857521616E-002
5,8633584E-001	-1,2984097E-002	5,699999856005888E-002
5,8288997E-001	-1,3365882E-002	5,759999854490161E-002
5,7945561E-001	-1,2906212E-002	5,819999852974433E-002
5,7607859E-001	-1,3002804E-002	5,879999851458706E-002
5,7258689E-001	-1,2972262E-002	5,939999849942978E-002
5,6925184E-001	-1,3245238E-002	5,999999848427251E-002
5,6593972E-001	-1,2721810E-002	6,059999846911523E-002
5,6263143E-001	-1,2808093E-002	6,119999845395796E-002
5,5940336E-001	-1,2799311E-002	6,179999843880069E-002
