EC-Lab ASCII FILE
Nb header lines : 3                           
Ewe/V	I/mA	time/s	
6,0007167E-001	7,8228628E-003	0,000000000000000E+000
6,0263121E-001	1,9385636E-002	5,999999848427251E-004
6,0616112E-001	2,0643622E-002	1,199999969685450E-003
6,0961074E-001	2,1279296E-002	1,799999954528175E-003
6,1296105E-001	2,1924514E-002	2,399999939370900E-003
6,1629224E-001	2,2532700E-002	2,999999924213625E-003
6,1962730E-001	2,2914868E-002	3,599999909056351E-003
6,2294322E-001	2,2903796E-002	4,199999893899076E-003
6,2618279E-001	2,4029683E-002	4,799999878741801E-003
6,2935740E-001	2,4453465E-002	5,399999863584526E-003
6,3252050E-001	2,4316786E-002	5,999999848427251E-003
6,3565689E-001	2,4558838E-002	6,599999833269976E-003
6,3872832E-001	2,5122356E-002	7,199999818112701E-003
6,4178836E-001	2,5604170E-002	7,799999802955426E-003
6,4474517E-001	2,5149461E-002	8,399999787798151E-003
6,4766377E-001	2,5980994E-002	8,999999772640876E-003
6,5055573E-001	2,5715649E-002	9,599999757483602E-003
6,5343231E-001	2,6474258E-002	1,019999974232633E-002
6,5616757E-001	2,6157375E-002	1,079999972716905E-002
6,5881497E-001	2,6339108E-002	1,139999971201178E-002
6,6156554E-001	2,5934799E-002	1,199999969685450E-002
6,6407156E-001	2,6462423E-002	1,259999968169723E-002
6,6650885E-001	2,5828278E-002	1,319999966653995E-002
6,6888124E-001	2,6005043E-002	1,379999965138268E-002
6,7123830E-001	2,5487345E-002	1,439999963622540E-002
6,7349219E-001	2,5812244E-002	1,499999962106813E-002
6,7565823E-001	2,5166262E-002	1,559999960591085E-002
6,7770976E-001	2,5150225E-002	1,619999959075358E-002
6,7970383E-001	2,4431324E-002	1,679999957559630E-002
6,8155283E-001	2,4015557E-002	1,739999956043903E-002
6,8332922E-001	2,3773504E-002	1,799999954528175E-002
6,8494135E-001	2,3041621E-002	1,859999953012448E-002
6,8655354E-001	2,2750318E-002	1,919999951496720E-002
6,8802428E-001	2,2572787E-002	1,979999949980993E-002
6,8939954E-001	2,1596178E-002	2,039999948465265E-002
6,9072515E-001	2,1006318E-002	2,099999946949538E-002
6,9191325E-001	2,0658894E-002	2,159999945433810E-002
6,9290650E-001	1,9586837E-002	2,219999943918083E-002
6,9385004E-001	1,8860299E-002	2,279999942402355E-002
6,9472492E-001	1,8465534E-002	2,339999940886628E-002
6,9548130E-001	1,7417911E-002	2,399999939370900E-002
6,9601995E-001	1,6674956E-002	2,459999937855173E-002
6,9652808E-001	1,5940400E-002	2,519999936339445E-002
6,9687188E-001	1,4694249E-002	2,579999934823718E-002
6,9717371E-001	1,4325063E-002	2,639999933307990E-002
6,9734943E-001	1,3600051E-002	2,699999931792263E-002
6,9737995E-001	1,2330229E-002	2,759999930276535E-002
6,9726539E-001	1,1611708E-002	2,819999928760808E-002
6,9708198E-001	1,0691604E-002	2,879999927245080E-002
6,9679546E-001	9,7390478E-003	2,939999925729353E-002
6,9638675E-001	9,0445783E-003	2,999999924213625E-002
6,9585949E-001	7,9965759E-003	3,059999922697898E-002
6,9519860E-001	7,5277425E-003	3,119999921182171E-002
6,9444221E-001	6,1720205E-003	3,179999919666443E-002
6,9349861E-001	5,4729697E-003	3,239999918150716E-002
6,9257414E-001	4,2997412E-003	3,299999916634988E-002
6,9148922E-001	3,6151989E-003	3,359999915119261E-002
6,9020945E-001	3,0860433E-003	3,419999913603533E-002
6,8894112E-001	2,1758652E-003	3,479999912087806E-002
6,8741304E-001	1,0782302E-003	3,539999910572078E-002
6,8592316E-001	5,5441970E-004	3,599999909056351E-002
6,8429190E-001	-1,1026987E-004	3,659999907540623E-002
6,8262631E-001	-1,3537471E-003	3,719999906024896E-002
6,8072385E-001	-1,8680129E-003	3,779999904509168E-002
6,7879468E-001	-2,3872422E-003	3,839999902993441E-002
6,7671651E-001	-3,5745970E-003	3,899999901477713E-002
6,7463064E-001	-3,9644004E-003	3,959999899961986E-002
6,7247218E-001	-4,7520250E-003	4,019999898446258E-002
6,7017245E-001	-5,3842627E-003	4,079999896930531E-002
6,6772747E-001	-5,9076911E-003	4,139999895414803E-002
6,6527879E-001	-6,3482728E-003	4,199999893899076E-002
6,6277653E-001	-7,3500797E-003	4,259999892383348E-002
6,6015971E-001	-7,8521278E-003	4,319999890867621E-002
6,5748173E-001	-8,2747657E-003	4,379999889351893E-002
6,5468532E-001	-9,2330482E-003	4,439999887836166E-002
6,5190428E-001	-9,4777737E-003	4,499999886320438E-002
6,4893973E-001	-9,9328626E-003	4,559999884804711E-002
6,4592946E-001	-1,0568535E-002	4,619999883288983E-002
6,4295733E-001	-1,0686508E-002	4,679999881773256E-002
6,3993174E-001	-1,1492076E-002	4,739999880257528E-002
6,3678390E-001	-1,1874626E-002	4,799999878741801E-002
6,3359404E-001	-1,2290391E-002	4,859999877226073E-002
6,3041562E-001	-1,2493120E-002	4,919999875710346E-002
6,2716836E-001	-1,2569476E-002	4,979999874194618E-002
6,2382954E-001	-1,2940191E-002	5,039999872678891E-002
6,2043339E-001	-1,3367410E-002	5,099999871163163E-002
6,1714035E-001	-1,3073052E-002	5,159999869647436E-002
6,1374420E-001	-1,3397189E-002	5,219999868131708E-002
6,1035949E-001	-1,3585409E-002	5,279999866615981E-002
6,0692132E-001	-1,3602971E-002	5,339999865100253E-002
6,0346019E-001	-1,4321875E-002	5,399999863584526E-002
6,0001057E-001	-1,4092803E-002	5,459999862068798E-002
5,9654945E-001	-1,4546365E-002	5,519999860553071E-002
5,9305394E-001	-1,4172214E-002	5,579999859037343E-002
5,8960432E-001	-1,4722751E-002	5,639999857521616E-002
5,8619285E-001	-1,4387160E-002	5,699999856005888E-002
5,8272034E-001	-1,4808270E-002	5,759999854490161E-002
5,7928973E-001	-1,4448246E-002	5,819999852974433E-002
5,7590890E-001	-1,4371126E-002	5,879999851458706E-002
5,7244396E-001	-1,4447482E-002	5,939999849942978E-002
5,6911659E-001	-1,4645247E-002	5,999999848427251E-002
5,6575859E-001	-1,4175651E-002	6,059999846911523E-002
5,6248850E-001	-1,4186341E-002	6,119999845395796E-002
5,5918783E-001	-1,4283315E-002	6,179999843880069E-002
5,5601323E-001	-1,4358909E-002	6,239999842364341E-002
5,5281192E-001	-1,4261170E-002	6,299999840848614E-002
5,4966789E-001	-1,3738887E-002	6,359999839332886E-002
5,4659647E-001	-1,3801119E-002	6,419999837817159E-002
5,4355556E-001	-1,3457130E-002	6,479999836301431E-002
5,4062927E-001	-1,3482708E-002	6,539999834785704E-002
5,3771448E-001	-1,3271580E-002	6,599999833269976E-002
5,3482258E-001	-1,3317013E-002	6,659999831754249E-002
5,3207201E-001	-1,2657669E-002	6,719999830238521E-002
5,2929091E-001	-1,2757697E-002	6,779999828722794E-002
5,2675813E-001	-1,2532444E-002	6,839999827207066E-002
5,2413368E-001	-1,2280082E-002	6,899999825691339E-002
5,2170777E-001	-1,1636774E-002	6,959999824175611E-002
5,1928961E-001	-1,1534836E-002	7,019999822659884E-002
5,1697457E-001	-1,0931996E-002	7,079999821144156E-002
5,1472068E-001	-1,1137779E-002	7,139999819628429E-002
5,1262337E-001	-1,0495615E-002	7,199999818112701E-002
5,1050699E-001	-1,0383369E-002	7,259999816596974E-002
5,0855869E-001	-9,6785920E-003	7,319999815081246E-002
5,0674409E-001	-9,5816189E-003	7,379999813565519E-002
5,0500971E-001	-9,0788072E-003	7,439999812049791E-002
5,0333267E-001	-8,8821864E-003	7,499999810534064E-002
5,0181216E-001	-8,3297426E-003	7,559999809018336E-002
5,0031465E-001	-7,9910979E-003	7,619999807502609E-002
4,9893558E-001	-7,4554519E-003	7,679999805986881E-002
4,9773219E-001	-6,9908183E-003	7,739999804471154E-002
4,9651736E-001	-7,0816837E-003	7,799999802955426E-002
4,9555850E-001	-6,5647457E-003	7,859999801439699E-002
4,9464163E-001	-5,8576777E-003	7,919999799923971E-002
4,9385849E-001	-5,4888721E-003	7,979999798408244E-002
4,9316704E-001	-4,7497344E-003	8,039999796892516E-002
4,9258256E-001	-4,6237446E-003	8,099999795376789E-002
4,9210885E-001	-4,3175523E-003	8,159999793861061E-002
4,9179175E-001	-3,6391187E-003	8,219999792345334E-002
4,9153581E-001	-3,0049719E-003	8,279999790829606E-002
4,9140212E-001	-2,7045063E-003	8,339999789313879E-002
4,9143648E-001	-2,4258024E-003	8,399999787798151E-002
4,9162367E-001	-2,2196379E-003	8,459999786282424E-002
4,9181852E-001	-2,0004928E-003	8,519999784766696E-002
4,9216998E-001	-1,2010327E-003	8,579999783250969E-002
4,9262074E-001	-4,4776875E-004	8,639999781735241E-002
4,9314031E-001	-2,5916644E-004	8,699999780219514E-002
4,9393108E-001	-8,6217355E-005	8,759999778703786E-002
4,9471423E-001	1,9134113E-004	8,819999777188059E-002
4,9560052E-001	1,4512353E-003	8,879999775672331E-002
4,9667400E-001	1,6161668E-003	8,939999774156604E-002
4,9775130E-001	1,9620650E-003	8,999999772640876E-002
4,9901196E-001	2,9340924E-003	9,059999771125149E-002
5,0037962E-001	2,8115392E-003	9,119999769609421E-002
5,0186950E-001	3,6655946E-003	9,179999768093694E-002
5,0341666E-001	3,6602495E-003	9,239999766577967E-002
5,0500971E-001	4,5081968E-003	9,299999765062239E-002
5,0675935E-001	4,7113067E-003	9,359999763546512E-002
5,0871527E-001	5,2530612E-003	9,419999762030784E-002
5,1059484E-001	5,4302099E-003	9,479999760515057E-002
5,1262718E-001	6,1880555E-003	9,539999758999329E-002
5,1479709E-001	6,5003564E-003	9,599999757483602E-002
5,1693642E-001	7,0993784E-003	9,659999755967874E-002
5,1926672E-001	7,6186080E-003	9,719999754452147E-002
5,2165049E-001	7,8854766E-003	9,779999752936419E-002
5,2406871E-001	8,0630071E-003	9,839999751420692E-002
5,2658242E-001	8,8823196E-003	9,899999749904964E-002
5,2918780E-001	9,3068657E-003	9,959999748389237E-002
5,3176641E-001	9,4798142E-003	1,001999974687351E-001
5,3462011E-001	1,0098308E-002	1,007999974535778E-001
5,3738213E-001	1,0434280E-002	1,013999974384205E-001
5,4027015E-001	1,0333489E-002	1,019999974232633E-001
5,4320794E-001	1,1084081E-002	1,025999974081060E-001
