EC-Lab ASCII FILE
Nb header lines : 3                           
Ewe/V	I/mA	time/s	
6,0101664E-001	5,0125141E-002	0,000000000000000E+000
6,0181504E-001	5,5686239E-002	5,999999848427251E-004
6,0585684E-001	6,2482037E-002	1,199999969685450E-003
6,1064357E-001	6,1051477E-002	1,799999954528175E-003
6,1408561E-001	5,6187909E-002	2,399999939370900E-003
6,1662221E-001	5,4978024E-002	2,999999924213625E-003
6,1961722E-001	5,6267321E-002	3,599999909056351E-003
6,2306690E-001	5,6552894E-002	4,199999893899076E-003
6,2652802E-001	5,5487715E-002	4,799999878741801E-003
6,2972170E-001	5,4267526E-002	5,399999863584526E-003
6,3272822E-001	5,3815871E-002	5,999999848427251E-003
6,3576144E-001	5,3802893E-002	6,599999833269976E-003
6,3895512E-001	5,3586036E-002	7,199999818112701E-003
6,4201510E-001	5,2785046E-002	7,799999802955426E-003
6,4497197E-001	5,2176867E-002	8,399999787798151E-003
6,4787531E-001	5,1842418E-002	8,999999772640876E-003
6,5076721E-001	5,1379312E-002	9,599999757483602E-003
6,5357888E-001	5,1067010E-002	1,019999974232633E-002
6,5637529E-001	5,0692860E-002	1,079999972716905E-002
6,5907615E-001	5,0139651E-002	1,139999971201178E-002
6,6168535E-001	4,9480692E-002	1,199999969685450E-002
6,6421050E-001	4,9017582E-002	1,259999968169723E-002
6,6667074E-001	4,8746135E-002	1,319999966653995E-002
6,6908121E-001	4,8158180E-002	1,379999965138268E-002
6,7143071E-001	4,7495782E-002	1,439999963622540E-002
6,7350125E-001	4,7144160E-002	1,499999962106813E-002
6,7567873E-001	4,7027331E-002	1,559999960591085E-002
6,7783719E-001	4,6228636E-002	1,619999959075358E-002
6,7985427E-001	4,5426123E-002	1,679999957559630E-002
6,8166882E-001	4,4757992E-002	1,739999956043903E-002
6,8339175E-001	4,4176154E-002	1,799999954528175E-002
6,8506116E-001	4,3664943E-002	1,859999953012448E-002
6,8667710E-001	4,2926949E-002	1,919999951496720E-002
6,8820900E-001	4,2087022E-002	1,979999949980993E-002
6,8955755E-001	4,1419275E-002	2,039999948465265E-002
6,9076091E-001	4,0812235E-002	2,099999946949538E-002
6,9201398E-001	4,0025756E-002	2,159999945433810E-002
6,9309509E-001	3,9072435E-002	2,219999943918083E-002
6,9403481E-001	3,8306192E-002	2,279999942402355E-002
6,9480652E-001	3,7603706E-002	2,339999940886628E-002
6,9552475E-001	3,6794320E-002	2,399999939370900E-002
6,9606715E-001	3,5943698E-002	2,459999937855173E-002
6,9662493E-001	3,5383239E-002	2,519999936339445E-002
6,9705278E-001	3,4624632E-002	2,579999934823718E-002
6,9727057E-001	3,3757973E-002	2,639999933307990E-002
6,9741189E-001	3,2873757E-002	2,699999931792263E-002
6,9743103E-001	3,2014355E-002	2,759999930276535E-002
6,9734311E-001	3,1461913E-002	2,819999928760808E-002
6,9717503E-001	3,0597549E-002	2,879999927245080E-002
6,9692296E-001	2,9544201E-002	2,939999925729353E-002
6,9646454E-001	2,8635168E-002	2,999999924213625E-002
6,9586092E-001	2,7942227E-002	3,059999922697898E-002
6,9527638E-001	2,7087027E-002	3,119999921182171E-002
6,9446272E-001	2,6162339E-002	3,179999919666443E-002
6,9362611E-001	2,5527813E-002	3,239999918150716E-002
6,9261372E-001	2,4589380E-002	3,299999916634988E-002
6,9153643E-001	2,3696383E-002	3,359999915119261E-002
6,9030255E-001	2,2892725E-002	3,419999913603533E-002
6,8891579E-001	2,2181073E-002	3,479999912087806E-002
6,8749845E-001	2,1731712E-002	3,539999910572078E-002
6,8604678E-001	2,0944851E-002	3,599999909056351E-002
6,8445379E-001	1,9835763E-002	3,659999907540623E-002
6,8267739E-001	1,9154657E-002	3,719999906024896E-002
6,8084753E-001	1,8500656E-002	3,779999904509168E-002
6,7894500E-001	1,7563755E-002	3,839999902993441E-002
6,7691648E-001	1,6804380E-002	3,899999901477713E-002
6,7471606E-001	1,6123274E-002	3,959999899961986E-002
6,7256528E-001	1,5530744E-002	4,019999898446258E-002
6,7024642E-001	1,4746937E-002	4,079999896930531E-002
6,6785884E-001	1,4157077E-002	4,139999895414803E-002
6,6545206E-001	1,3383197E-002	4,199999893899076E-002
6,6284668E-001	1,2640622E-002	4,259999892383348E-002
6,6018403E-001	1,2171025E-002	4,319999890867621E-002
6,5751368E-001	1,1868268E-002	4,379999889351893E-002
6,5476316E-001	1,1111188E-002	4,439999887836166E-002
6,5192473E-001	1,0421300E-002	4,499999886320438E-002
6,4899462E-001	9,9891182E-003	4,559999884804711E-002
6,4603394E-001	9,8184599E-003	4,619999883288983E-002
6,4309627E-001	9,4443085E-003	4,679999881773256E-002
6,3999039E-001	8,7288413E-003	4,739999880257528E-002
6,3680434E-001	8,4383022E-003	4,799999878741801E-002
6,3370234E-001	8,0477353E-003	4,859999877226073E-002
6,3044757E-001	7,5911190E-003	4,919999875710346E-002
6,2719655E-001	7,2849272E-003	4,979999874194618E-002
6,2389970E-001	6,8096034E-003	5,039999872678891E-002
6,2055320E-001	6,6137468E-003	5,099999871163163E-002
6,1723346E-001	6,3873474E-003	5,159999869647436E-002
6,1384869E-001	5,8749905E-003	5,219999868131708E-002
6,1043727E-001	5,5791065E-003	5,279999866615981E-002
6,0696089E-001	5,5462727E-003	5,339999865100253E-002
6,0358381E-001	5,3152922E-003	5,399999863584526E-002
6,0010362E-001	4,9449597E-003	5,459999862068798E-002
5,9661198E-001	5,0331526E-003	5,519999860553071E-002
5,9321964E-001	4,9503050E-003	5,579999859037343E-002
5,8975464E-001	4,6578567E-003	5,639999857521616E-002
5,8629739E-001	4,2814156E-003	5,699999856005888E-002
5,8284014E-001	4,1882601E-003	5,759999854490161E-002
5,7942104E-001	3,9607151E-003	5,819999852974433E-002
5,7599813E-001	3,8465613E-003	5,879999851458706E-002
5,7264018E-001	3,8389256E-003	5,939999849942978E-002
5,6922489E-001	3,6228346E-003	5,999999848427251E-002
5,6590134E-001	3,7175175E-003	6,059999846911523E-002
5,6264269E-001	3,4201061E-003	6,119999845395796E-002
5,5939549E-001	3,3762006E-003	6,179999843880069E-002
5,5608720E-001	3,1738540E-003	6,239999842364341E-002
5,5289733E-001	3,3013704E-003	6,299999840848614E-002
5,4984498E-001	3,3059518E-003	6,359999839332886E-002
5,4673153E-001	3,4957000E-003	6,419999837817159E-002
5,4365247E-001	3,3345863E-003	6,479999836301431E-002
5,4072618E-001	3,4277420E-003	6,539999834785704E-002
5,3784192E-001	3,3762010E-003	6,599999833269976E-002
5,3493088E-001	3,5006630E-003	6,659999831754249E-002
5,3211927E-001	3,7721130E-003	6,719999830238521E-002
5,2941453E-001	3,9652963E-003	6,779999828722794E-002
5,2681679E-001	4,0050023E-003	6,839999827207066E-002
5,2419233E-001	4,0305820E-003	6,899999825691339E-002
5,2175885E-001	4,1561900E-003	6,959999824175611E-002
5,1927191E-001	4,3543368E-003	7,019999822659884E-002
5,1706767E-001	4,6822913E-003	7,079999821144156E-002
5,1488250E-001	4,8854011E-003	7,139999819628429E-002
5,1271260E-001	4,6987077E-003	7,199999818112701E-002
5,1058477E-001	5,0992016E-003	7,259999816596974E-002
5,0864029E-001	5,4214289E-003	7,319999815081246E-002
5,0679511E-001	5,7142586E-003	7,379999813565519E-002
5,0504166E-001	5,7776351E-003	7,439999812049791E-002
5,0336456E-001	6,3560409E-003	7,499999810534064E-002
5,0179827E-001	6,6866684E-003	7,559999809018336E-002
5,0040394E-001	6,8745068E-003	7,619999807502609E-002
4,9904776E-001	6,9478094E-003	7,679999805986881E-002
4,9774885E-001	7,3731192E-003	7,739999804471154E-002
4,9668300E-001	7,7766674E-003	7,799999802955426E-002
4,9568212E-001	7,8976937E-003	7,859999801439699E-002
4,9478820E-001	8,2290843E-003	7,919999799923971E-002
4,9395922E-001	8,3573638E-003	7,979999798408244E-002
4,9318752E-001	8,8250525E-003	8,039999796892516E-002
4,9262980E-001	9,2270728E-003	8,099999795376789E-002
4,9225157E-001	9,4737057E-003	8,159999793861061E-002
4,9193069E-001	9,8459478E-003	8,219999792345334E-002
4,9170911E-001	9,9978978E-003	8,279999790829606E-002
4,9147227E-001	1,0429699E-002	8,339999789313879E-002
4,9146080E-001	1,1074536E-002	8,399999787798151E-002
