EC-Lab ASCII FILE
Nb header lines : 3                           
Ewe/V	I/mA	time/s	
6,0094410E-001	4,8148640E-002	0,000000000000000E+000
6,0191441E-001	5,3355437E-002	5,999999848427251E-004
6,0576898E-001	6,0166501E-002	1,199999969685450E-003
6,1050606E-001	5,9568241E-002	1,799999954528175E-003
6,1403209E-001	5,5194501E-002	2,399999939370900E-003
6,1666805E-001	5,3565800E-002	2,999999924213625E-003
6,1967075E-001	5,4577153E-002	3,599999909056351E-003
6,2306309E-001	5,5098291E-002	4,199999893899076E-003
6,2655473E-001	5,4267909E-002	4,799999878741801E-003
6,2974459E-001	5,3069100E-002	5,399999863584526E-003
6,3274348E-001	5,2462820E-002	5,999999848427251E-003
6,3578051E-001	5,2465875E-002	6,599999833269976E-003
6,3891691E-001	5,2280709E-002	7,199999818112701E-003
6,4204568E-001	5,1600751E-002	7,799999802955426E-003
6,4498723E-001	5,0929565E-002	8,399999787798151E-003
6,4789826E-001	5,0516479E-002	8,999999772640876E-003
6,5070611E-001	5,0127439E-002	9,599999757483602E-003
6,5353686E-001	4,9861331E-002	1,019999974232633E-002
6,5633708E-001	4,9631111E-002	1,079999972716905E-002
6,5908378E-001	4,9155407E-002	1,139999971201178E-002
6,6167009E-001	4,8401382E-002	1,199999969685450E-002
6,6421819E-001	4,8020739E-002	1,259999968169723E-002
6,6662872E-001	4,7893226E-002	1,319999966653995E-002
6,6908509E-001	4,7474787E-002	1,379999965138268E-002
6,7141920E-001	4,6765812E-002	1,439999963622540E-002
6,7363495E-001	4,6211835E-002	1,499999962106813E-002
6,7571694E-001	4,5962911E-002	1,559999960591085E-002
6,7785633E-001	4,5374963E-002	1,619999959075358E-002
6,7984277E-001	4,4738144E-002	1,679999957559630E-002
6,8161160E-001	4,3964263E-002	1,739999956043903E-002
6,8339175E-001	4,3480542E-002	1,799999954528175E-002
6,8512231E-001	4,3054081E-002	1,859999953012448E-002
6,8666565E-001	4,2364579E-002	1,919999951496720E-002
6,8820900E-001	4,1556340E-002	1,979999949980993E-002
6,8949258E-001	4,0841632E-002	2,039999948465265E-002
6,9077623E-001	4,0353332E-002	2,099999946949538E-002
6,9196433E-001	3,9718036E-002	2,159999945433810E-002
6,9299191E-001	3,9165974E-002	2,219999943918083E-002
6,9403869E-001	3,8308103E-002	2,279999942402355E-002
6,9483328E-001	3,7276134E-002	2,339999940886628E-002
6,9549417E-001	3,6488507E-002	2,399999939370900E-002
6,9607484E-001	3,5633691E-002	2,459999937855173E-002
6,9660199E-001	3,5001453E-002	2,519999936339445E-002
6,9704896E-001	3,4150451E-002	2,579999934823718E-002
6,9735843E-001	3,3139862E-002	2,639999933307990E-002
6,9739282E-001	3,2215558E-002	2,699999931792263E-002
6,9740427E-001	3,1222913E-002	2,759999930276535E-002
6,9736612E-001	3,0732702E-002	2,819999928760808E-002
6,9720942E-001	2,9677827E-002	2,879999927245080E-002
6,9696116E-001	2,8576374E-002	2,939999925729353E-002
6,9644922E-001	2,7640235E-002	2,999999924213625E-002
6,9585705E-001	2,7046176E-002	3,059999922697898E-002
6,9524199E-001	2,6148979E-002	3,119999921182171E-002
6,9449329E-001	2,5216274E-002	3,179999919666443E-002
6,9368333E-001	2,4416052E-002	3,239999918150716E-002
6,9263667E-001	2,3469603E-002	3,299999916634988E-002
6,9146764E-001	2,2838511E-002	3,359999915119261E-002
6,9032162E-001	2,2069212E-002	3,419999913603533E-002
6,8900365E-001	2,1028845E-002	3,479999912087806E-002
6,8751758E-001	2,0328648E-002	3,539999910572078E-002
6,8603534E-001	1,9577676E-002	3,599999909056351E-002
6,8435448E-001	1,8655663E-002	3,659999907540623E-002
6,8266594E-001	1,8011970E-002	3,719999906024896E-002
6,8080926E-001	1,7289631E-002	3,779999904509168E-002
6,7891067E-001	1,6336313E-002	3,839999902993441E-002
6,7691267E-001	1,5726216E-002	3,899999901477713E-002
6,7478484E-001	1,5057329E-002	3,959999899961986E-002
6,7253476E-001	1,4448761E-002	4,019999898446258E-002
6,7023879E-001	1,3636702E-002	4,079999896930531E-002
6,6783971E-001	1,3142671E-002	4,139999895414803E-002
6,6536039E-001	1,2718506E-002	4,199999893899076E-002
6,6286963E-001	1,2043508E-002	4,259999892383348E-002
6,6022223E-001	1,1313534E-002	4,319999890867621E-002
6,5755564E-001	1,0866080E-002	4,379999889351893E-002
6,5477073E-001	1,0139160E-002	4,439999887836166E-002
6,5193617E-001	9,4584348E-003	4,499999886320438E-002
6,4898318E-001	8,9666946E-003	4,559999884804711E-002
6,4607215E-001	8,6501949E-003	4,619999883288983E-002
6,4306569E-001	8,1256190E-003	4,679999881773256E-002
6,3997132E-001	7,3899184E-003	4,739999880257528E-002
6,3682348E-001	7,1455748E-003	4,799999878741801E-002
6,3367558E-001	6,6939220E-003	4,859999877226073E-002
6,3044369E-001	6,1479681E-003	4,919999875710346E-002
6,2719655E-001	5,7337303E-003	4,979999874194618E-002
6,2393028E-001	5,2515343E-003	5,039999872678891E-002
6,2053025E-001	5,1003466E-003	5,099999871163163E-002
6,1726016E-001	4,9083084E-003	5,159999869647436E-002
6,1383343E-001	4,4047325E-003	5,219999868131708E-002
6,1037230E-001	4,0092021E-003	5,279999866615981E-002
6,0694563E-001	4,0229466E-003	5,339999865100253E-002
6,0354567E-001	3,9469711E-003	5,399999863584526E-002
6,0014182E-001	3,5770205E-003	5,459999862068798E-002
5,9668070E-001	3,3563480E-003	5,519999860553071E-002
5,9318525E-001	3,2009610E-003	5,579999859037343E-002
5,8972412E-001	3,1146770E-003	5,639999857521616E-002
5,8636618E-001	2,8451362E-003	5,699999856005888E-002
5,8288211E-001	2,6698965E-003	5,759999854490161E-002
5,7937521E-001	2,5148913E-003	5,819999852974433E-002
5,7597905E-001	2,5641418E-003	5,879999851458706E-002
5,7265544E-001	2,5729227E-003	5,939999849942978E-002
5,6927842E-001	2,2984189E-003	5,999999848427251E-002
5,6593186E-001	2,3793573E-003	6,059999846911523E-002
5,6258917E-001	2,1938093E-003	6,119999845395796E-002
5,5936497E-001	2,5496338E-003	6,179999843880069E-002
5,5616748E-001	2,5862851E-003	6,239999842364341E-002
5,5299288E-001	2,3518687E-003	6,299999840848614E-002
5,4976481E-001	2,1766289E-003	6,359999839332886E-002
5,4668188E-001	2,5034377E-003	6,419999837817159E-002
5,4367918E-001	2,3323975E-003	6,479999836301431E-002
5,4068035E-001	2,3995917E-003	6,539999834785704E-002
5,3781134E-001	2,3866110E-003	6,599999833269976E-002
5,3495002E-001	2,3785937E-003	6,659999831754249E-002
5,3211546E-001	2,5366531E-003	6,719999830238521E-002
5,2941835E-001	2,6874586E-003	6,779999828722794E-002
5,2691233E-001	2,7092204E-003	6,839999827207066E-002
5,2425730E-001	2,6515706E-003	6,899999825691339E-002
5,2175504E-001	2,7164742E-003	6,959999824175611E-002
5,1929104E-001	3,0138856E-003	7,019999822659884E-002
5,1698744E-001	3,3639837E-003	7,079999821144156E-002
5,1479840E-001	3,5915279E-003	7,139999819628429E-002
5,1267827E-001	3,4819555E-003	7,199999818112701E-002
5,1055419E-001	3,8267083E-003	7,259999816596974E-002
5,0858295E-001	4,1569532E-003	7,319999815081246E-002
5,0676835E-001	4,6154782E-003	7,379999813565519E-002
5,0504929E-001	4,6960353E-003	7,439999812049791E-002
5,0331491E-001	4,9850470E-003	7,499999810534064E-002
5,0181741E-001	5,1725046E-003	7,559999809018336E-002
5,0031984E-001	5,6046862E-003	7,619999807502609E-002
4,9900955E-001	5,8028330E-003	7,679999805986881E-002
4,9776414E-001	6,1777472E-003	7,739999804471154E-002
4,9669829E-001	6,5992386E-003	7,799999802955426E-002
4,9563247E-001	6,8489271E-003	7,859999801439699E-002
4,9479201E-001	7,2578196E-003	7,919999799923971E-002
4,9393627E-001	7,3799915E-003	7,979999798408244E-002
4,9320281E-001	7,8049195E-003	8,039999796892516E-002
4,9264127E-001	8,2943691E-003	8,099999795376789E-002
4,9219045E-001	8,9178262E-003	8,159999793861061E-002
4,9193451E-001	9,5053948E-003	8,219999792345334E-002
4,9176261E-001	9,5080677E-003	8,279999790829606E-002
4,9149138E-001	9,7142318E-003	8,339999789313879E-002
4,9146461E-001	1,0405647E-002	8,399999787798151E-002
4,9170911E-001	1,1065372E-002	8,459999786282424E-002
4,9194980E-001	1,1075299E-002	8,519999784766696E-002
4,9226305E-001	1,1444486E-002	8,579999783250969E-002
4,9271381E-001	1,1962569E-002	8,639999781735241E-002
4,9330595E-001	1,2403915E-002	8,699999780219514E-002
4,9406236E-001	1,2857859E-002	8,759999778703786E-002
4,9486080E-001	1,3085404E-002	8,819999777188059E-002
4,9573562E-001	1,3333946E-002	8,879999775672331E-002
4,9666008E-001	1,3827978E-002	8,939999774156604E-002
4,9777943E-001	1,4612929E-002	8,999999772640876E-002
4,9914324E-001	1,4944701E-002	9,059999771125149E-002
5,0053763E-001	1,5237151E-002	9,119999769609421E-002
5,0187087E-001	1,5558613E-002	9,179999768093694E-002
5,0345242E-001	1,6223686E-002	9,239999766577967E-002
5,0512570E-001	1,6673429E-002	9,299999765062239E-002
5,0686008E-001	1,7192276E-002	9,359999763546512E-002
5,0868231E-001	1,7508777E-002	9,419999762030784E-002
5,1061529E-001	1,7969973E-002	9,479999760515057E-002
5,1263237E-001	1,8285329E-002	9,539999758999329E-002
5,1476026E-001	1,8761417E-002	9,599999757483602E-002
5,1701033E-001	1,9158091E-002	9,659999755967874E-002
5,1931775E-001	1,9520406E-002	9,719999754452147E-002
5,2167863E-001	1,9867450E-002	9,779999752936419E-002
5,2415413E-001	2,0349266E-002	9,839999751420692E-002
5,2666402E-001	2,0843297E-002	9,899999749904964E-002
5,2925408E-001	2,0962413E-002	9,959999748389237E-002
5,3189766E-001	2,1274714E-002	1,001999974687351E-001
5,3462917E-001	2,1622904E-002	1,007999974535778E-001
5,3744841E-001	2,2121515E-002	1,013999974384205E-001
5,4028684E-001	2,2610584E-002	1,019999974232633E-001
5,4325134E-001	2,2946557E-002	1,025999974081060E-001
5,4627311E-001	2,3051929E-002	1,031999973929487E-001
5,4926431E-001	2,3276037E-002	1,037999973777914E-001
5,5232430E-001	2,3765488E-002	1,043999973626342E-001
5,5543011E-001	2,3878496E-002	1,049999973474769E-001
5,5853212E-001	2,3874296E-002	1,055999973323196E-001
5,6167620E-001	2,4196524E-002	1,061999973171623E-001
5,6497687E-001	2,4662685E-002	1,067999973020051E-001
5,6820112E-001	2,4711553E-002	1,073999972868478E-001
5,7146353E-001	2,4926880E-002	1,079999972716905E-001
5,7484442E-001	2,5037220E-002	1,085999972565332E-001
5,7822150E-001	2,5011636E-002	1,091999972413760E-001
5,8144194E-001	2,5243381E-002	1,097999972262187E-001
5,8468145E-001	2,5467491E-002	1,103999972110614E-001
5,8803940E-001	2,5818350E-002	1,109999971959041E-001
5,9145087E-001	2,6054677E-002	1,115999971807469E-001
5,9476298E-001	2,5862638E-002	1,121999971655896E-001
5,9797961E-001	2,5913799E-002	1,127999971504323E-001
6,0132992E-001	2,6644917E-002	1,133999971352750E-001
6,0474133E-001	2,6840774E-002	1,139999971201178E-001
6,0794270E-001	2,6264276E-002	1,145999971049605E-001
6,1110580E-001	2,6562070E-002	1,151999970898032E-001
6,1439502E-001	2,6845355E-002	1,157999970746459E-001
6,1761546E-001	2,6993109E-002	1,163999970594887E-001
6,2083972E-001	2,6825123E-002	1,169999970443314E-001
6,2390351E-001	2,6824741E-002	1,175999970291741E-001
6,2699789E-001	2,6993487E-002	1,181999970140168E-001
6,3005406E-001	2,7002269E-002	1,187999969988596E-001
6,3298035E-001	2,6899952E-002	1,193999969837023E-001
6,3596392E-001	2,7082447E-002	1,199999969685450E-001
6,3887495E-001	2,7034340E-002	1,205999969533877E-001
6,4171714E-001	2,6986999E-002	1,211999969382305E-001
6,4444476E-001	2,6956839E-002	1,217999969230732E-001
6,4718008E-001	2,7097333E-002	1,223999969079159E-001
6,4983511E-001	2,6796870E-002	1,229999968927586E-001
6,5236026E-001	2,6460133E-002	1,235999968776014E-001
6,5482426E-001	2,6498692E-002	1,241999968624441E-001
6,5729976E-001	2,6272677E-002	1,247999968472868E-001
6,5961099E-001	2,6158905E-002	1,253999968321295E-001
6,6189545E-001	2,5800791E-002	1,259999968169723E-001
6,6396219E-001	2,5488108E-002	1,265999968018150E-001
6,6604799E-001	2,5255980E-002	1,271999967866577E-001
6,6809565E-001	2,5194513E-002	1,277999967715004E-001
6,7000192E-001	2,4725297E-002	1,283999967563432E-001
6,7177069E-001	2,4212558E-002	1,289999967411859E-001
6,7344773E-001	2,3905221E-002	1,295999967260286E-001
6,7507899E-001	2,3675002E-002	1,301999967108713E-001
6,7650390E-001	2,3418443E-002	1,307999966957141E-001
6,7792118E-001	2,2993898E-002	1,313999966805568E-001
6,7922771E-001	2,2583095E-002	1,319999966653995E-001
6,8040049E-001	2,2157021E-002	1,325999966502422E-001
6,8140525E-001	2,1944366E-002	1,331999966350850E-001
6,8244052E-001	2,1436211E-002	1,337999966199277E-001
6,8328100E-001	2,1000976E-002	1,343999966047704E-001
6,8401825E-001	2,0530997E-002	1,349999965896131E-001
6,8467534E-001	1,9916702E-002	1,355999965744559E-001
6,8516052E-001	1,9550188E-002	1,361999965592986E-001
6,8554634E-001	1,9001560E-002	1,367999965441413E-001
6,8582141E-001	1,8338397E-002	1,373999965289840E-001
6,8603534E-001	1,7945923E-002	1,379999965138268E-001
6,8609649E-001	1,7319793E-002	1,385999964986695E-001
6,8603152E-001	1,6903264E-002	1,391999964835122E-001
6,8587875E-001	1,6296607E-002	1,397999964683549E-001
6,8561512E-001	1,5547541E-002	1,403999964531977E-001
6,8517578E-001	1,4946993E-002	1,409999964380404E-001
6,8459511E-001	1,4620565E-002	1,415999964228831E-001
6,8404502E-001	1,4191055E-002	1,421999964077258E-001
6,8327719E-001	1,3395413E-002	1,427999963925686E-001
6,8246728E-001	1,2612370E-002	1,433999963774113E-001
6,8140912E-001	1,2061071E-002	1,439999963622540E-001
6,8033946E-001	1,1627744E-002	1,445999963470967E-001
6,7922771E-001	1,1008104E-002	1,451999963319395E-001
6,7794031E-001	1,0107853E-002	1,457999963167822E-001
6,7648101E-001	9,4702700E-003	1,463999963016249E-001
6,7497581E-001	8,9808209E-003	1,469999962864676E-001
6,7334080E-001	8,3344569E-003	1,475999962713104E-001
6,7164844E-001	7,7552870E-003	1,481999962561531E-001
6,6985291E-001	7,0718904E-003	1,487999962409958E-001
6,6792375E-001	6,4984481E-003	1,493999962258385E-001
6,6591430E-001	6,0437401E-003	1,499999962106813E-001
6,6381699E-001	5,5680349E-003	1,505999961955240E-001
6,6157836E-001	4,9785571E-003	1,511999961803667E-001
6,5939325E-001	4,5494293E-003	1,517999961652095E-001
6,5690249E-001	3,9607151E-003	1,523999961500522E-001
6,5450335E-001	3,6255070E-003	1,529999961348949E-001
6,5197438E-001	3,2001974E-003	1,535999961197376E-001
6,4936900E-001	2,7924497E-003	1,541999961045804E-001
6,4672160E-001	2,3312522E-003	1,547999960894231E-001
6,4394814E-001	1,9632103E-003	1,553999960742658E-001
6,4117849E-001	1,7131405E-003	1,559999960591085E-001
6,3828659E-001	1,0534142E-003	1,565999960439513E-001
6,3526863E-001	6,9224444E-004	1,571999960287940E-001
6,3221246E-001	5,3342147E-004	1,577999960136367E-001
6,2919831E-001	3,7994343E-004	1,583999959984794E-001
6,2612689E-001	-2,0800714E-004	1,589999959833222E-001
6,2289500E-001	-5,7795784E-004	1,595999959681649E-001
6,1968982E-001	-7,1272830E-004	1,601999959530076E-001
6,1652672E-001	-9,4218174E-004	1,607999959378503E-001
6,1316109E-001	-1,2666999E-003	1,613999959226931E-001
6,0976112E-001	-1,2121045E-003	1,619999959075358E-001
6,0652924E-001	-1,3067875E-003	1,625999958923785E-001
6,0316747E-001	-1,7641670E-003	1,631999958772212E-001
5,9972924E-001	-2,0233998E-003	1,637999958620640E-001
5,9631777E-001	-2,2081842E-003	1,643999958469067E-001
5,9286815E-001	-2,3059216E-003	1,649999958317494E-001
5,8947581E-001	-2,5334661E-003	1,655999958165921E-001
5,8601850E-001	-2,8450035E-003	1,661999958014349E-001
5,8254212E-001	-3,0217706E-003	1,667999957862776E-001
5,7902372E-001	-3,0118441E-003	1,673999957711203E-001
5,7558936E-001	-3,0572766E-003	1,679999957559630E-001
5,7219702E-001	-3,2993290E-003	1,685999957408058E-001
5,6875503E-001	-3,4119561E-003	1,691999957256485E-001
5,6527096E-001	-3,4138649E-003	1,697999957104912E-001
5,6189775E-001	-3,4184463E-003	1,703999956953339E-001
5,5849779E-001	-3,4886948E-003	1,709999956801767E-001
5,5525821E-001	-3,2874937E-003	1,715999956650194E-001
5,5198050E-001	-3,4550978E-003	1,721999956498621E-001
5,4869509E-001	-3,4829681E-003	1,727999956347048E-001
