EC-Lab ASCII FILE
Nb header lines : 3                           
Ewe/V	I/mA	time/s	
6,0025078E-001	7,4311513E-003	0,000000000000000E+000
6,0272628E-001	1,9862488E-002	5,999999848427251E-004
6,0620648E-001	2,1658409E-002	1,199999969685450E-003
6,0966760E-001	2,2386858E-002	1,799999954528175E-003
6,1306375E-001	2,3128668E-002	2,399999939370900E-003
6,1646372E-001	2,3672331E-002	2,999999924213625E-003
6,1976820E-001	2,4217904E-002	3,599999909056351E-003
6,2306124E-001	2,4808146E-002	4,199999893899076E-003
6,2631226E-001	2,5351809E-002	4,799999878741801E-003
6,2950206E-001	2,5767956E-002	5,399999863584526E-003
6,3265759E-001	2,5720997E-002	5,999999848427251E-003
6,3581312E-001	2,6649119E-002	6,599999833269976E-003
6,3889599E-001	2,6445625E-002	7,199999818112701E-003
6,4196748E-001	2,7028229E-002	7,799999802955426E-003
6,4494717E-001	2,7214544E-002	8,399999787798151E-003
6,4785439E-001	2,7558915E-002	8,999999772640876E-003
6,5081125E-001	2,8002549E-002	9,599999757483602E-003
6,5362674E-001	2,7935738E-002	1,019999974232633E-002
6,5629703E-001	2,7770042E-002	1,079999972716905E-002
6,5899408E-001	2,7858617E-002	1,139999971201178E-002
6,6167974E-001	2,7615035E-002	1,199999969685450E-002
6,6418958E-001	2,8112505E-002	1,259999968169723E-002
6,6662306E-001	2,7676122E-002	1,319999966653995E-002
6,6903740E-001	2,7297391E-002	1,379999965138268E-002
6,7140973E-001	2,7689485E-002	1,439999963622540E-002
6,7364460E-001	2,7452398E-002	1,499999962106813E-002
6,7576861E-001	2,6871700E-002	1,559999960591085E-002
6,7790031E-001	2,6738076E-002	1,619999959075358E-002
6,7984092E-001	2,5879057E-002	1,679999957559630E-002
6,8170518E-001	2,5556063E-002	1,739999956043903E-002
6,8350071E-001	2,5331192E-002	1,799999954528175E-002
6,8517011E-001	2,4422541E-002	1,859999953012448E-002
6,8674785E-001	2,3878496E-002	1,919999951496720E-002
6,8819189E-001	2,3450132E-002	1,979999949980993E-002
6,8961304E-001	2,2851110E-002	2,039999948465265E-002
6,9087374E-001	2,1915352E-002	2,099999946949538E-002
6,9201213E-001	2,1345345E-002	2,159999945433810E-002
6,9305503E-001	2,0468764E-002	2,219999943918083E-002
6,9411319E-001	1,9959079E-002	2,279999942402355E-002
6,9484288E-001	1,9318061E-002	2,339999940886628E-002
6,9559550E-001	1,8216226E-002	2,399999939370900E-002
6,9615704E-001	1,7600024E-002	2,459999937855173E-002
6,9665366E-001	1,6994510E-002	2,519999936339445E-002
6,9708920E-001	1,6223302E-002	2,579999934823718E-002
6,9738716E-001	1,4856890E-002	2,639999933307990E-002
6,9749415E-001	1,4400656E-002	2,699999931792263E-002
6,9747883E-001	1,3156034E-002	2,759999930276535E-002
6,9749027E-001	1,2108413E-002	2,819999928760808E-002
6,9726110E-001	1,1097442E-002	2,879999927245080E-002
6,9696689E-001	1,0391520E-002	2,939999925729353E-002
6,9654292E-001	9,6562002E-003	2,999999924213625E-002
6,9601572E-001	8,4325755E-003	3,059999922697898E-002
6,9532806E-001	7,8098830E-003	3,119999921182171E-002
6,9461751E-001	6,5415893E-003	3,179999919666443E-002
6,9367009E-001	5,6211026E-003	3,239999918150716E-002
6,9268829E-001	4,7296323E-003	3,299999916634988E-002
6,9160336E-001	3,8018923E-003	3,359999915119261E-002
6,9035417E-001	3,1322392E-003	3,419999913603533E-002
6,8907052E-001	2,3518687E-003	3,479999912087806E-002
6,8764943E-001	1,6230390E-003	3,539999910572078E-002
6,8609464E-001	1,8446897E-004	3,599999909056351E-002
6,8449014E-001	-4,1188084E-004	3,659999907540623E-002
6,8273664E-001	-1,0128123E-003	3,719999906024896E-002
6,8089914E-001	-2,3715890E-003	3,779999904509168E-002
6,7900437E-001	-2,9106708E-003	3,839999902993441E-002
6,7696434E-001	-3,5875775E-003	3,899999901477713E-002
6,7487854E-001	-5,2918708E-003	3,959999899961986E-002
6,7259783E-001	-5,7878108E-003	4,019999898446258E-002
6,7030191E-001	-6,2402277E-003	4,079999896930531E-002
6,6790664E-001	-7,2065280E-003	4,139999895414803E-002
6,6552663E-001	-7,1626222E-003	4,199999893899076E-002
6,6290599E-001	-8,3763208E-003	4,259999892383348E-002
6,6033113E-001	-9,1677625E-003	4,319999890867621E-002
6,5756148E-001	-9,3456758E-003	4,379999889351893E-002
6,5489882E-001	-1,0122228E-002	4,439999887836166E-002
6,5202987E-001	-1,0420403E-002	4,499999886320438E-002
6,4908826E-001	-1,0817842E-002	4,559999884804711E-002
6,4611620E-001	-1,1347761E-002	4,619999883288983E-002
6,4309442E-001	-1,1605849E-002	4,679999881773256E-002
6,4004207E-001	-1,2445779E-002	4,739999880257528E-002
6,3691330E-001	-1,2711501E-002	4,799999878741801E-002
6,3369668E-001	-1,3183007E-002	4,859999877226073E-002
6,3051444E-001	-1,3446439E-002	4,919999875710346E-002
6,2725586E-001	-1,3323122E-002	4,979999874194618E-002
6,2398958E-001	-1,3702617E-002	5,039999872678891E-002
6,2065828E-001	-1,4852558E-002	5,099999871163163E-002
6,1728889E-001	-1,4228719E-002	5,159999869647436E-002
6,1390418E-001	-1,4685717E-002	5,219999868131708E-002
6,1048895E-001	-1,4576907E-002	5,279999866615981E-002
6,0701251E-001	-1,4595233E-002	5,339999865100253E-002
6,0366225E-001	-1,5221744E-002	5,399999863584526E-002
6,0018206E-001	-1,5115226E-002	5,459999862068798E-002
5,9672475E-001	-1,5517247E-002	5,519999860553071E-002
5,9324449E-001	-1,5177458E-002	5,579999859037343E-002
5,8977580E-001	-1,5852455E-002	5,639999857521616E-002
5,8632231E-001	-1,5522592E-002	5,699999856005888E-002
5,8292234E-001	-1,5928430E-002	5,759999854490161E-002
5,7954144E-001	-1,5860090E-002	5,819999852974433E-002
5,7608032E-001	-1,5694778E-002	5,879999851458706E-002
5,7267272E-001	-1,5770372E-002	5,939999849942978E-002
5,6933385E-001	-1,6164374E-002	5,999999848427251E-002
5,6600642E-001	-1,5603912E-002	6,059999846911523E-002
5,6264848E-001	-1,5564968E-002	6,119999845395796E-002
5,5935550E-001	-1,5709667E-002	6,179999843880069E-002
5,5617702E-001	-1,5608494E-002	6,239999842364341E-002
5,5301017E-001	-1,5629873E-002	6,299999840848614E-002
5,4983550E-001	-1,5165241E-002	6,359999839332886E-002
5,4673350E-001	-1,5108736E-002	6,419999837817159E-002
5,4371172E-001	-1,4531857E-002	6,479999836301431E-002
5,4073197E-001	-1,4606306E-002	6,539999834785704E-002
